City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Faanui,6,PF,1562700749,25.38,6.66,-16.48,-151.75,76
Arraial do Cabo,20,BR,1562700750,22,5.1,-22.97,-42.02,56
Kapaa,20,US,1562700750,28.33,5.7,22.08,-159.32,83
Kahului,20,US,1562700618,28,5.7,20.89,-156.47,69
Lagoa,0,PT,1562700750,22.78,6.2,37.14,-8.45,77
Nautla,9,MX,1562700750,30.88,7.17,20.22,-96.78,64
Katsuura,75,JP,1562700750,23,2.1,33.93,134.5,94
Mao,20,DO,1562700750,35,10.8,19.55,-71.08,41
Bredasdorp,0,ZA,1562700751,10,1.5,-34.53,20.04,87
Itarema,2,BR,1562700707,25.08,3.54,-2.92,-39.92,75
Jinchang,0,CN,1562700751,14.08,0.98,38.52,102.19,58
Novo Aripuana,76,BR,1562700751,29.08,0.92,-5.12,-60.38,70
Itatskiy,100,RU,1562700751,14.78,1.96,56.07,89.04,88
Pisco,90,PE,1562700751,22,3.1,-13.71,-76.2,30
Micheweni,38,TZ,1562700751,26.18,7.87,-4.97,39.83,79
Hobart,75,AU,1562700752,10.56,4.6,-42.88,147.33,70
Tansen,100,NP,1562700752,20.48,1.18,27.87,83.55,97
Cockburn Town,40,TC,1562700752,32,5.1,21.46,-71.14,70
Busselton,31,AU,1562700752,13.89,7.66,-33.64,115.35,62
Narsaq,75,GL,1562700753,19,8.7,60.91,-46.05,24
Punta Arenas,90,CL,1562700753,3,1,-53.16,-70.91,100
Tiksi,10,RU,1562700753,14.98,5.73,71.64,128.87,75
Nhulunbuy,33,AU,1562700753,21,2.1,-12.18,136.78,94
Bara,100,NG,1562700753,22.78,1.59,10.41,10.6,87
Vaini,96,IN,1562700753,25.48,4.49,15.34,74.49,86
Abu Dhabi,0,AE,1562700523,36,3.6,24.47,54.37,41
Kruisfontein,0,ZA,1562700754,10.78,1.01,-34,24.73,87
Saskylakh,0,RU,1562700754,16.98,5.11,71.97,114.09,72
Rockhampton,90,AU,1562700754,15,0.69,-23.38,150.51,100
Lasem,1,ID,1562700754,20.48,1.85,-6.99,112.52,87
Tarija,0,BO,1562700754,34,2.1,-21.53,-64.73,13
Cape Town,0,ZA,1562700621,13.33,4.1,-33.93,18.42,87
Birjand,0,IR,1562700754,29,4.1,32.86,59.22,16
Puerto Ayora,75,EC,1562700754,24,10.3,-0.74,-90.35,73
Serenje,0,ZM,1562700755,10.98,2.36,-13.23,30.22,42
Albany,40,US,1562700608,31.11,4.73,42.65,-73.75,28
Ancud,90,CL,1562700755,11,5.1,-41.87,-73.83,100
Port Alfred,0,ZA,1562700755,14.44,0.89,-33.59,26.89,92
Ler,0,NO,1562700755,16.11,3.6,63.2,10.3,77
Dikson,100,RU,1562700755,0.48,4.16,73.51,80.55,98
Jamestown,0,AU,1562700599,9.08,6.07,-33.21,138.6,61
Ilulissat,20,GL,1562700755,12,2.1,69.22,-51.1,46
Jumla,99,NP,1562700755,13.38,0.72,29.28,82.18,97
Yellowknife,75,CA,1562700756,13,5.1,62.45,-114.38,62
New Norfolk,75,AU,1562700756,10.56,4.6,-42.78,147.06,70
Kazuno,94,JP,1562700756,13.08,1.14,40.2,140.83,79
Oskarshamn,40,SE,1562700809,16,4.1,57.26,16.44,63
Bethel,1,US,1562700810,21,4.6,60.79,-161.76,88
Dawlatabad,0,AF,1562700810,26.58,4.05,36.41,64.91,13
Sotnikovskoye,12,RU,1562700810,19.68,4.68,45,43.79,46
Bluff,86,AU,1562700810,15.48,0.84,-23.58,149.07,91
Ushuaia,75,AR,1562700810,3,2.6,-54.81,-68.31,100
Mar del Plata,0,AR,1562700810,7.68,1.74,-46.43,-67.52,70
Hambantota,40,LK,1562700810,24,1.5,6.12,81.12,100
Uyuni,0,BO,1562700810,10.98,3,-20.46,-66.82,25
Puerto Escondido,40,MX,1562700811,31,4.1,15.86,-97.07,66
Mahebourg,40,MU,1562700811,22,2.6,-20.41,57.7,88
Russell,1,US,1562700811,32.78,1.74,38.9,-98.86,58
Atuona,33,PF,1562700811,26.98,4.65,-9.8,-139.03,74
Mataura,100,NZ,1562700811,3.89,0.45,-46.19,168.86,97
Jadu,0,LY,1562700811,31.88,3.6,31.95,12.03,18
Castro,90,CL,1562700812,11,5.1,-42.48,-73.76,100
Hithadhoo,7,MV,1562700812,28.78,4.91,-0.6,73.08,72
Souillac,0,FR,1562700812,27,5.1,45.6,-0.6,24
Bondo,100,CD,1562700812,21.08,0.23,3.81,23.69,97
Mmabatho,0,ZA,1562700812,12,3.6,-25.85,25.61,34
Almeirim,5,BR,1562700812,25.68,1.45,-1.53,-52.58,92
Butaritari,37,KI,1562700812,28.48,1.47,3.07,172.79,72
Northam,90,AU,1562700813,12,1.5,-31.65,116.67,93
Chuy,100,UY,1562700813,11.18,2.96,-33.69,-53.46,86
Guanica,40,PR,1562700813,30.56,8.39,17.97,-66.91,74
Singaraja,11,ID,1562700813,25.58,2.19,-8.11,115.08,72
Znamenskoye,7,RU,1562700813,9.08,2,57.13,73.82,97
Ayorou,85,NE,1562700813,28.28,5.21,14.73,0.92,53
Pacifica,75,US,1562700813,21.11,6.2,37.61,-122.49,68
Nantucket,1,US,1562700642,28.89,4.1,41.28,-70.1,61
Tual,79,ID,1562700814,25.68,10.2,-5.67,132.75,82
Portmore,20,JM,1562700619,30,6.2,17.97,-76.87,62
Longyearbyen,0,NO,1562700814,9,4.6,78.22,15.63,76
Amga,87,RU,1562700650,18.58,1.12,60.89,131.98,96
Barrow,0,AR,1562700814,11.08,2.4,-38.31,-60.23,67
Krasnoye,0,RU,1562700814,19,1,44.87,39.46,48
Okato,99,NZ,1562700814,12.22,4.47,-39.19,173.88,88
Dekar,0,BW,1562700814,12.38,3.12,-21.53,21.93,26
Norman Wells,40,CA,1562700771,18,3.1,65.28,-126.83,45
Okhotsk,100,RU,1562700815,9.78,1.78,59.36,143.24,90
Slave Lake,1,CA,1562700815,14,2.6,55.28,-114.77,58
Lompoc,40,US,1562700815,25,4.6,34.64,-120.46,68
Upernavik,5,GL,1562700815,5.68,10.66,72.79,-56.15,80
IJsselstein,20,NL,1562700815,18,3.1,52.02,5.05,59
Buraydah,0,SA,1562700815,34,5.7,26.33,43.97,21
Skibbereen,40,IE,1562700815,17,4.1,51.55,-9.27,72
Kumla,0,SE,1562700815,18,1,59.13,15.14,63
Denpasar,40,ID,1562700816,25,2.6,-8.65,115.22,88
Khani,75,GE,1562700869,21,1,41.96,42.96,88
Carnarvon,0,ZA,1562700870,11.28,2.55,-30.97,22.13,44
Boende,100,CD,1562700870,22.58,1,-0.28,20.88,92
Nishihara,90,JP,1562700870,19.44,2.53,35.74,139.53,88
Isangel,20,VU,1562700870,18,8.59,-19.55,169.27,77
Tiznit,0,MA,1562700870,19.78,11.77,29.7,-9.73,84
Kloulklubed,90,PW,1562700870,25,3.6,7.04,134.26,94
Ormstown,90,CA,1562700870,30.56,7.7,45.13,-73.99,35
Emba,0,CY,1562700871,27,3.6,34.81,32.42,83
Tsogni,1,GA,1562700874,22.48,3.55,-2.79,10.1,89
Namibe,85,AO,1562700874,19.58,2.19,-15.19,12.15,87
Azul,81,AR,1562700874,15.56,1.69,-36.78,-59.86,52
Rikitea,37,PF,1562700874,23.08,6.8,-23.12,-134.97,83
Richards Bay,0,ZA,1562700874,18.58,3.6,-28.77,32.06,76
Port Elizabeth,1,US,1562700687,32.22,2.83,39.31,-74.98,48
Hilo,90,US,1562700874,27.78,5.1,19.71,-155.08,83
Tigil,100,RU,1562700875,13.48,2.15,57.8,158.67,77
Vila Velha,0,BR,1562700655,30,7.2,-3.71,-38.6,65
Clyde River,20,CA,1562700875,12,4.6,70.47,-68.59,66
Turukhansk,100,RU,1562700875,10.98,1.98,65.8,87.96,82
Nikolskoye,90,RU,1562700875,14,2,59.7,30.79,76
Guerrero Negro,0,MX,1562700875,18.88,5.84,27.97,-114.04,83
Lavrentiya,0,RU,1562700875,21.08,2.74,65.58,-170.99,32
Kaitangata,100,NZ,1562700875,4.44,1.69,-46.28,169.85,84
Kodiak,1,US,1562700879,32.22,3.1,39.95,-94.76,22
Hami,100,CN,1562700879,28.28,1.99,42.84,93.51,22
Knysna,0,ZA,1562700882,10,1.5,-34.04,23.05,87
Lebu,11,ET,1562700882,13.88,0.41,8.96,38.73,88
Ribeira Grande,20,PT,1562700883,24,6.7,38.52,-28.7,83
Sabzevar,63,IR,1562700883,26.28,3.76,36.21,57.68,24
Qaanaaq,100,GL,1562700883,4.18,1.85,77.48,-69.36,84
Porto Belo,20,BR,1562700883,21,4.6,-27.15,-48.54,72
Severo-Kurilsk,94,RU,1562700883,6.38,5.06,50.68,156.12,95
Am Timan,42,TD,1562700883,26.88,1.49,11.04,20.28,66
Nicoya,75,CR,1562700883,30,1.5,10.15,-85.45,66
Ixtapa,40,MX,1562700884,31.67,6.2,20.71,-105.21,52
Victoria,75,BN,1562700829,24,1.5,5.28,115.24,100
Port Moresby,21,PG,1562700884,24.38,9.15,-9.47,147.16,82
Ludvika,71,SE,1562700884,17,2.1,60.15,15.18,51
Dunmore East,99,IE,1562700813,18.89,1.34,52.15,-6.99,78
Matata,100,NZ,1562700887,9.44,0.83,-37.89,176.76,93
Mangrol,99,IN,1562700887,28.08,6.14,25.33,76.51,82
Mbale,88,UG,1562700845,19.58,1.9,1.07,34.17,88
Santa Fe,100,AR,1562700887,15.38,2.53,-31.62,-60.7,73
Bonavista,100,CA,1562700930,13.18,3.91,48.65,-53.11,82
Los Llanos de Aridane,40,ES,1562700933,23,7.2,28.66,-17.92,69
Avarua,20,CK,1562700933,25,3.6,-21.21,-159.78,78
Iqaluit,40,CA,1562700933,22,7.2,63.75,-68.52,40
Ostrovnoy,100,RU,1562700933,4.58,7.41,68.05,39.51,96
Labuhan,100,ID,1562700934,22.78,0.09,-2.54,115.51,88
Fairlie,40,US,1562700934,36.11,5.1,33.31,-95.96,56
Tuktoyaktuk,75,CA,1562700934,15,2.6,69.44,-133.03,54
Coquimbo,0,CL,1562700651,18.33,3.6,-29.95,-71.34,71
Chicama,75,PE,1562700934,19,4.1,-7.84,-79.15,77
Ust-Kuyga,0,RU,1562700935,21.48,4.11,70,135.55,63
Bobrov,0,RU,1562700935,12.48,3.57,51.1,40.03,91
Ponte de Sor,77,PT,1562700935,31.11,2.24,39.25,-8.01,26
Huarmey,0,PE,1562700935,17.08,6.66,-10.07,-78.15,87
Alekseyevsk,8,RU,1562700935,14.68,0.84,57.84,108.35,90
Odienne,99,CI,1562700935,22.78,1.13,9.51,-7.57,92
Yar-Sale,99,RU,1562700935,8.18,3.26,66.83,70.83,69
Shangrao,100,CN,1562700936,20.18,1.27,28.45,117.97,98
Te Anau,100,NZ,1562700936,6.08,1.54,-45.41,167.72,92
Kavieng,100,PG,1562700936,25.88,1.72,-2.57,150.8,82
Tonantins,100,BR,1562700936,26.58,1.4,-2.86,-67.77,84
Poya,24,NC,1562700936,19.48,5.07,-21.35,165.16,70
Bathsheba,40,BB,1562700937,31,9.3,13.22,-59.52,62
Husavik,100,CA,1562700937,22.22,1.5,50.56,-96.99,73
Honiara,75,SB,1562700937,24,12.69,-9.43,159.96,94
Alofi,0,NU,1562700937,25,4.1,-19.06,-169.92,94
La Tuque,100,CA,1562700937,25.98,4.82,47.44,-72.79,32
Hofn,100,IS,1562700937,2.78,0.97,64.25,-15.21,92
Lazaro Cardenas,75,MX,1562700659,35,2.6,28.39,-105.62,27
Mikuni,75,JP,1562700938,21,1.5,36.22,136.15,88
Moramanga,100,MG,1562700938,16.28,0.5,-18.95,48.23,99
Baruun-Urt,0,MN,1562700938,15.68,1.63,46.68,113.28,69
Talnakh,75,RU,1562700938,9,6,69.49,88.39,87
Sisophon,100,KH,1562700938,24.08,3.08,13.59,102.97,89
Puerto Madero,0,AR,1562700938,18,2.1,-34.61,-58.36,67
Matamoros,40,US,1562700938,35.56,5.7,25.87,-97.51,53
General Pico,100,AR,1562700939,11.48,1.57,-35.66,-63.75,64
Santa Maria,0,BR,1562700784,25,3.6,-16.02,-48.01,33
Tasiilaq,40,GL,1562700939,7,3.6,65.61,-37.64,75
Bukama,9,CD,1562700939,18.18,0.44,-9.2,25.85,36
Nome,40,US,1562700990,35.56,2.6,30.04,-94.42,59
Vallenar,100,CL,1562700990,16.18,2.62,-28.58,-70.76,54
Maceio,40,BR,1562700990,26,5.7,-9.67,-35.74,65
Hasaki,75,JP,1562700990,17.78,2.6,35.73,140.83,93
Fairbanks,40,US,1562700990,26.67,3.1,64.84,-147.72,38
Kavaratti,99,IN,1562700990,29.28,8.21,10.57,72.64,75
Fairview,90,CA,1562700821,15,2.1,56.07,-118.38,51
Kununurra,0,AU,1562700991,15,6.54,-15.77,128.74,82
Acacias,15,CO,1562700991,26.68,1.75,5.51,-74.29,71
Grindavik,75,IS,1562700991,15.56,4.6,63.84,-22.43,58
Axim,100,GH,1562700991,24.08,3.76,4.87,-2.24,90
Gambela,6,ET,1562700991,18.88,2.05,8.25,34.59,77
Karratha,99,AU,1562700991,19.38,2.69,-20.74,116.85,38
Santa Luzia,0,BR,1562700991,21,4.6,-19.77,-43.85,42
Peleduy,24,RU,1562700992,15.88,1.38,59.63,112.75,85
Cabo San Lucas,5,MX,1562700730,36.11,5.1,22.89,-109.91,29
Saint-Augustin,90,CA,1562700992,31.11,7.7,45.63,-73.98,35
Manado,20,ID,1562700992,23,1,1.49,124.85,94
Ahipara,0,NZ,1562700992,14.48,5.66,-35.17,173.16,72
Riyadh,0,SA,1562700992,36,2.6,24.63,46.72,8
Freeport,40,BS,1562700992,31,4.6,26.54,-78.7,66
Deputatskiy,4,RU,1562700993,17.68,1.23,69.3,139.9,76
Daia,0,RO,1562700993,20.56,1,43.99,25.99,56
College,40,US,1562700993,26.67,3.1,64.86,-147.8,38
Lorengau,99,PG,1562700993,25.18,2.5,-2.02,147.27,85
Salalah,75,OM,1562700993,29,2.1,17.01,54.1,83
Soe,10,EE,1562700993,13,4.1,57.91,26.05,93
La Ronge,75,CA,1562700993,16,5.1,55.1,-105.3,63
Kieta,100,PG,1562700994,25.68,0.51,-6.22,155.63,82
Lae,77,PG,1562700994,20.88,0.29,-6.72,146.98,94
Saint-Francois,0,FR,1562700994,24,3.1,46.42,3.91,31
Red Bluff,1,US,1562700994,28.89,2.6,40.18,-122.24,42
Olinda,33,AU,1562700994,11.11,4.6,-37.84,145.39,81
Lata,100,IN,1562700994,8.58,1.41,30.78,78.62,99
Mount Isa,90,AU,1562700994,19,6.2,-20.73,139.49,42
Hermanus,0,ZA,1562700994,14.44,6.63,-34.42,19.24,97
Nizwa,85,OM,1562700995,28.58,0.97,22.93,57.53,31
Margate,75,AU,1562700995,10.56,4.6,-43.03,147.26,70
Benghazi,0,LY,1562700995,27.28,4.93,32.12,20.07,71
Klaksvik,20,FO,1562700995,10,8.7,62.23,-6.59,76
Leningradskiy,74,RU,1562700995,11.18,3.51,69.38,178.42,69
Qaqortoq,75,GL,1562700995,19,8.7,60.72,-46.03,24
Vanavara,0,RU,1562700995,13.48,1.07,60.35,102.28,74
Berdigestyakh,100,RU,1562700996,17.08,1.86,62.1,126.7,89
Portree,100,GB,1562701049,13.33,3.13,57.41,-6.19,97
East London,75,ZA,1562701050,15,3.1,-33.02,27.91,87
Belaya Gora,4,RU,1562701050,22.18,1.37,68.54,146.19,58
Stykkisholmur,43,IS,1562701050,10.18,0.77,65.08,-22.73,83
Monclova,40,MX,1562701050,36,3.6,26.9,-101.42,23
Verkhnevilyuysk,70,RU,1562701050,19.68,0.68,63.45,120.31,74
Maxixe,0,MZ,1562701050,17,1.02,-23.86,35.35,88
Crotone,64,IT,1562701050,26.78,2.77,39.09,17.12,48
Ponta do Sol,0,BR,1562701051,14.98,2.37,-20.63,-46,56
Alice Springs,0,AU,1562701051,6,2.6,-23.7,133.88,45
Yerofey Pavlovich,0,RU,1562701051,13.48,1.52,53.97,121.97,91
Cherskiy,8,RU,1562701051,23.48,3.98,68.75,161.3,42
Novyy Urengoy,89,RU,1562701051,9.38,2.26,66.08,76.63,67
Codrington,90,AU,1562701051,9,2.6,-28.95,153.24,93
Moree,40,AU,1562701052,4,3.1,-29.46,149.84,93
Bambous Virieux,40,MU,1562701052,22,2.6,-20.34,57.76,88
Bambanglipuro,8,ID,1562701052,22.28,2.55,-7.95,110.28,85
Torbay,75,CA,1562701052,22.22,8.2,47.66,-52.73,49
Namatanai,84,PG,1562701052,24.88,0.98,-3.66,152.44,79
Half Moon Bay,75,US,1562701052,23.33,6.2,37.46,-122.43,68
Murdochville,74,CA,1562700780,14.18,5.94,48.96,-65.49,55
Broome,75,GB,1562701053,19,4.1,52.47,1.45,77
Agua Branca,33,BR,1562701053,26.68,1.91,-5.89,-42.63,55
Atasu,0,KZ,1562701053,17.38,2.23,48.68,71.64,59
Gat,0,SN,1562701053,30,5.1,14.69,-16.54,51
Pevek,34,RU,1562701053,7.98,3.57,69.7,170.27,71
Khatanga,100,RU,1562701053,9.58,2.59,71.98,102.47,88
Thompson,40,CA,1562700864,23,2.1,55.74,-97.86,43
Oeiras,2,BR,1562701054,27.58,1.62,-7.01,-42.13,44
Hobyo,100,SO,1562701054,25.68,10.92,5.35,48.53,74
Luderitz,0,NA,1562701054,19,1.5,-26.65,15.16,34
Sebastian,90,US,1562700904,31.11,5.1,27.82,-80.47,83
Broken Hill,0,AU,1562701054,7,4.1,-31.97,141.45,75
Tazovskiy,50,RU,1562700904,5.48,2.84,67.47,78.7,80
Novokuznetsk,0,RU,1562701054,15.08,0.93,53.76,87.14,87
Bandarbeyla,1,SO,1562701054,25.88,12.27,9.49,50.81,72
Saint-Philippe,40,CA,1562701055,31.11,3.6,45.36,-73.48,39
Georgetown,40,GY,1562701055,30,4.1,6.8,-58.16,79
Santa Isabel do Rio Negro,16,BR,1562701055,27.28,1.42,-0.41,-65.02,83
Ukiah,1,US,1562700807,27.22,2.1,39.15,-123.21,36
El Banco,100,CO,1562701055,30.58,2.02,9,-73.97,64
Tres Arroyos,0,AR,1562701055,11.08,2.4,-38.38,-60.28,67
Adrar,0,DZ,1562701055,44,2.6,27.87,-0.29,6
Touros,40,BR,1562701109,28,5.1,-5.2,-35.46,69
Lander,20,US,1562701110,22.78,2.6,42.83,-108.73,37
Mount Gambier,0,AU,1562701110,9,7.2,-37.83,140.78,81
Vostok,100,RU,1562701110,17.48,0.51,46.45,135.83,83
Chokurdakh,94,RU,1562701110,20.98,3.41,70.62,147.9,46
Minab,0,IR,1562701110,34,1.5,27.15,57.07,75
San Ramon de la Nueva Oran,0,AR,1562701110,22.28,1.87,-23.13,-64.33,38
Barcelos,22,BR,1562701111,25.98,1.49,-0.97,-62.93,95
Kanker,100,IN,1562701111,24.68,4.7,20.27,81.49,85
Rawson,0,AR,1562701111,10.68,3.31,-43.3,-65.11,57
Tuatapere,100,NZ,1562701111,3.89,0.45,-46.13,167.69,97
Arlit,64,NE,1562701111,36.58,1.86,18.74,7.39,18
Zhigansk,34,RU,1562701112,17.38,4.31,66.77,123.37,91
Tautira,20,PF,1562701112,26,2.1,-17.73,-149.15,74
Puerto Madryn,0,AR,1562701001,10.58,0.89,-42.77,-65.04,59
Rome,0,IT,1562701065,28,4.1,41.89,12.48,65
Wajima,0,JP,1562701112,22.18,3.78,37.4,136.9,82
Gouyave,20,GD,1562701112,30,8.2,12.16,-61.73,79
Bilibino,25,RU,1562701112,20.28,2.71,68.06,166.44,41
Kupang,0,ID,1562701112,23.78,7.08,-10.16,123.6,73
Ewa Beach,40,US,1562701112,31,4.6,21.32,-158.01,83
Riberalta,20,BO,1562701113,32,2.1,-11,-66.08,46
Shitanjing,0,CN,1562701113,20.68,5.51,39.23,106.34,39
